# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Mar 19 21:58:06 2026
#
# User preference: *
#
# CONSTRAINT:  where (pl_orbperstr < 10
# CONSTRAINT:  and pl_radjstr > 0.8
# CONSTRAINT:  and pl_bmassjstr between 0.3 and 11
# CONSTRAINT:  and pl_eqtstr between 1000 and 3000)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
Kepler-45 b,Kepler-45,1,1,1,Transit,2011,Kepler,Published Confirmed,0,<a refstr=JOHNSON_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012AJ....143..111J/abstract target=ref> Johnson et al. 2012 </a>,2.45523900000,0.00000400000,-0.00000400000,0,0.0300000000,,,0,10.76000000,1.23000000,-1.23000000,0,0.96000000,0.11000000,-0.11000000,0,160.49700000,28.60400000,-28.60400000,0,0.50500000,0.09000000,-0.09000000,0,Mass,0.110000,0.100000,-0.090000,0,,,,,1000.00,20.00,-20.00,0,0,<a refstr=JOHNSON_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012AJ....143..111J/abstract target=ref> Johnson et al. 2012 </a>,M,3820.00,90.00,-90.00,0,0.550000,0.110000,-0.110000,0,0.590000,0.060000,-0.060000,0,0.2800,0.1400,-0.1400,0,[Fe/H],4.700000,0.200000,-0.200000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h31m29.50s,292.8729292,+41d03m51.02s,41.0641727,381.94900000,6.38250000,-6.38250000,16.7440000,1.1330000,-1.1330000,12.8920000,0.0300000,-0.0300000,15.9804000,0.0008940,-0.0008940,2014-05-14,2012-05,2014-05-14
TOI-2368 b,TOI-2368,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=SCHULTE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...32S/abstract target=ref>Schulte et al. 2024</a>,5.17500730000,0.00000160000,-0.00000160000,0,0.0564900000,0.0010000000,-0.0010000000,0,10.83908434,0.40352331,-0.34747840,0,0.96700000,0.03600000,-0.03100000,0,206.58846455,57.20911326,-57.20911326,0,0.65000000,0.18000000,-0.18000000,0,Mass,0.061000,0.066000,-0.042000,0,,,,,1000.00,44.00,-31.00,0,0,<a refstr=SCHULTE_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....168...32S/abstract target=ref>Schulte et al. 2024</a>,,5360.00,230.00,-170.00,0,0.846000,0.031000,-0.026000,0,0.897000,0.048000,-0.049000,0,0.1000,0.1800,-0.1500,0,[Fe/H],4.538000,0.027000,-0.038000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h59m49.83s,134.9576234,-48d29m18.57s,-48.4884929,210.91500000,1.18100000,-1.16800000,12.4860000,0.0690000,-0.0690000,10.3420000,0.0200000,-0.0200000,12.2727000,0.0002450,-0.0002450,2024-07-23,2024-07,2024-07-23
TOI-2989 b,TOI-2989,1,1,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=FRENSCH_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250604923F/abstract target=ref>Frensch et al. 2025</a>,3.12283200000,0.00000100000,-0.00000100000,0,0.0384000000,0.0003000000,-0.0003000000,0,12.55405838,0.56044903,-0.56044903,0,1.12000000,0.05000000,-0.05000000,0,953.48522100,63.56568140,-63.56568140,0,3.00000000,0.20000000,-0.20000000,0,Mass,0.000000,,,0,124.0000,4.0000,-4.0000,0,1001.00,43.00,-42.00,0,0,<a refstr=FRENSCH_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250604923F/abstract target=ref>Frensch et al. 2025</a>,K4 V,4672.00,170.00,-170.00,0,0.760000,0.030000,-0.030000,0,0.770000,0.020000,-0.020000,0,-0.0400,0.0700,-0.0700,0,[Fe/H],4.580000,0.040000,-0.040000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h24m55.60s,171.2316754,-27d03m44.50s,-27.0623619,195.79500000,1.01200000,-1.00100000,13.8590000,0.0570000,-0.0570000,10.8610000,0.0210000,-0.0210000,13.4755000,0.0009400,-0.0009400,2025-06-11,2025-06,2025-06-11
CoRoT-20 b,CoRoT-20,0,1,2,Transit,2011,CoRoT,Published Confirmed,0,<a refstr=DELEUIL_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...538A.145D/abstract target=ref> Deleuil et al. 2012 </a>,9.24285000000,0.00030000000,-0.00030000000,0,0.0902000000,0.0021000000,-0.0021000000,0,9.42000000,0.45000000,-0.45000000,0,0.84000000,0.04000000,-0.04000000,0,1347.54000000,73.10000000,-73.10000000,0,4.24000000,0.23000000,-0.23000000,0,Mass,0.562000,0.013000,-0.013000,0,,,,,1002.00,24.00,-24.00,0,0,<a refstr=DELEUIL_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...538A.145D/abstract target=ref> Deleuil et al. 2012 </a>,G2 V,5880.00,90.00,-90.00,0,1.020000,0.050000,-0.050000,0,1.140000,0.080000,-0.080000,0,0.1400,0.1200,-0.1200,0,[Fe/H],4.200000,0.150000,-0.150000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h30m52.90s,97.7204249,+00d13m36.82s,0.2268931,844.06100000,24.17100000,-22.88300000,14.6300000,0.0920000,-0.0920000,12.5130000,0.0290000,-0.0290000,14.4686000,0.0004120,-0.0004120,2018-07-18,2012-02,2014-05-14
WASP-67 b,WASP-67,0,1,1,Transit,2012,SuperWASP,Published Confirmed,0,<a refstr=MANCINI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...568A.127M/abstract target=ref>Mancini et al. 2014</a>,4.61000000000,,,0,0.0510000000,0.0013000000,-0.0013000000,0,12.22900000,0.51600000,-0.51600000,0,1.09100000,0.04600000,-0.04600000,0,129.03400000,11.12400000,-11.12400000,0,0.40600000,0.03500000,-0.03500000,0,Mass,,,,,,,,,1003.00,20.00,-20.00,0,0,<a refstr=MANCINI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...568A.127M/abstract target=ref>Mancini et al. 2014</a>,,,,,,0.817000,0.022000,-0.022000,0,0.829000,0.062000,-0.062000,0,,,,,,4.533000,0.016000,-0.016000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h42m58.52s,295.7438485,-19d56m59.03s,-19.9497314,189.46900000,1.55700000,-1.53300000,12.5370000,0.0390000,-0.0390000,10.1290000,0.0210000,-0.0210000,11.9141000,0.0002140,-0.0002140,2020-11-24,2014-08,2020-12-03
Qatar-6 b,Qatar-6,1,2,1,Transit,2017,Qatar,Published Confirmed,0,<a refstr=ALSUBAI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...52A/abstract target=ref>Alsubai et al. 2018</a>,3.50619500000,0.00001800000,-0.00001800000,0,0.0423000000,0.0004000000,-0.0004000000,0,11.90395800,0.79583900,-0.79583900,0,1.06200000,0.07100000,-0.07100000,0,212.31044000,20.97678000,-20.97678000,0,0.66800000,0.06600000,-0.06600000,0,Mass,0.000000,,,0,,,,,1006.00,18.00,-18.00,0,0,<a refstr=ALSUBAI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155...52A/abstract target=ref>Alsubai et al. 2018</a>,K2 V,5052.00,66.00,-66.00,0,0.722000,0.020000,-0.020000,0,0.822000,0.021000,-0.021000,0,-0.0250,0.0930,-0.0930,0,[Fe/H],4.636000,0.014000,-0.014000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h48m50.42s,222.2100773,+22d09m09.41s,22.1526136,100.84800000,0.46400000,-0.46000000,11.4960000,0.0360000,-0.0360000,9.2260000,,,11.1249000,0.0013670,-0.0013670,2019-11-18,2018-02,2019-11-21
CoRoT-6 b,CoRoT-6,1,1,1,Transit,2009,CoRoT,Published Confirmed,0,<a refstr=FRIDLUND_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..14F/abstract target=ref> Fridlund et al. 2010 </a>,8.88659300000,0.00000400000,-0.00000400000,0,0.0855000000,0.0015000000,-0.0015000000,0,13.06800000,0.39200000,-0.39200000,0,1.16600000,0.03500000,-0.03500000,0,940.74000000,108.06000000,-108.06000000,0,2.96000000,0.34000000,-0.34000000,0,Mass,0.100000,,,1,,,,,1017.00,19.00,-19.00,0,0,<a refstr=FRIDLUND_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...512A..14F/abstract target=ref> Fridlund et al. 2010 </a>,F9 V,6090.00,70.00,-70.00,0,1.025000,0.026000,-0.026000,0,1.050000,0.050000,-0.050000,0,-0.2000,0.1000,-0.1000,0,[Fe/H],4.430000,0.100000,-0.100000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h44m17.41s,281.0725563,+06d39m47.54s,6.6632062,645.29400000,12.45300000,-11.99700000,13.9610000,0.0690000,-0.0690000,12.1190000,0.0240000,-0.0240000,13.7459000,0.0004960,-0.0004960,2014-05-14,2010-03,2014-05-14
OGLE-TR-111 b,OGLE-TR-111,0,1,1,Transit,2004,OGLE,Published Confirmed,0,<a refstr=SOUTHWORTH_2012 href=https://ui.adsabs.harvard.edu/abs/2012MNRAS.426.1291S/abstract target=ref>Southworth 2012</a>,4.01444770000,0.00000160000,-0.00000160000,0,0.0467600000,0.0012300000,-0.0012300000,0,11.33229900,0.43715100,-0.43715100,0,1.01100000,0.03900000,-0.03900000,0,174.80650000,31.78300000,-31.78300000,0,0.55000000,0.10000000,-0.10000000,0,Mass,,,,,,,,,1019.00,20.00,-20.00,0,0,<a refstr=SOUTHWORTH_2012 href=https://ui.adsabs.harvard.edu/abs/2012MNRAS.426.1291S/abstract target=ref>Southworth 2012</a>,,5044.00,83.00,-83.00,0,0.822000,0.024000,-0.024000,0,0.846000,0.065000,-0.065000,0,0.1900,0.0700,-0.0700,0,[Fe/H],4.536000,0.025000,-0.025000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h53m17.79s,163.3241150,-61d24m20.51s,-61.4056976,1068.33000000,64.79500000,-64.79500000,16.7070000,0.5840000,-0.5840000,14.1120000,0.0820000,-0.0820000,16.5277000,0.0007520,-0.0007520,2016-02-24,2012-10,2016-01-14
WASP-42 b,WASP-42,1,1,1,Transit,2012,SuperWASP,Published Confirmed,0,<a refstr=SOUTHWORTH_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.457.4205S/abstract target=ref>Southworth et al. 2016</a>,4.98168190000,0.00000110000,-0.00000110000,0,0.0561000000,0.0012000000,-0.0012000000,0,12.57649800,0.43715100,-0.43715100,0,1.12200000,0.03900000,-0.03900000,0,167.49641000,8.89924000,-8.89924000,0,0.52700000,0.02800000,-0.02800000,0,Mass,,,,,,,,,1021.00,19.00,-19.00,0,0,<a refstr=SOUTHWORTH_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016MNRAS.457.4205S/abstract target=ref>Southworth et al. 2016</a>,,5315.00,79.00,-79.00,0,0.892000,0.026000,-0.026000,0,0.951000,0.063000,-0.063000,0,0.2900,0.0500,-0.0500,0,[Fe/H],4.515000,0.023000,-0.023000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h51m55.49s,192.9812030,-42d04m25.02s,-42.0736165,177.29100000,1.32000000,-1.30100000,12.1690000,0.0460000,-0.0460000,10.0330000,0.0220000,-0.0220000,11.9686000,0.0002080,-0.0002080,2016-02-24,2016-04,2016-02-25
TOI-837 b,TOI-837,0,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=DAMASSO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...688A..15D/abstract target=ref>Damasso et al. 2024</a>,8.32491020000,0.00000370000,-0.00000370000,0,0.0830000000,0.0010000000,-0.0010000000,0,9.71000000,0.93000000,-0.60000000,0,0.86626967,0.08296919,-0.05352851,0,116.00000000,17.00000000,-18.00000000,0,0.36497682,0.05348798,-0.05663433,0,Mass,0.000000,,,0,,,,,1022.00,13.00,-13.00,0,0,<a refstr=DAMASSO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...688A..15D/abstract target=ref>Damasso et al. 2024</a>,,6000.00,60.00,-60.00,0,1.036000,0.015000,-0.015000,0,1.109000,0.038000,-0.048000,0,-0.0500,0.0500,-0.0500,0,[Fe/H],4.453000,0.023000,-0.029000,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h28m08.95s,157.0372806,-64d30m18.76s,-64.5052107,142.48800000,0.46100000,-0.45800000,10.6350000,0.0070000,-0.0070000,8.9330000,0.0260000,-0.0260000,10.3560000,0.0006670,-0.0006670,2024-08-16,2024-08,2024-08-16
